Index,Time[d.s],logKs_T(15)_S(17)_EvLim(20),logKs_T(15)_S(33)_EvLim(20),logKs_T(30)_S(17)_EvLim(20),logKs_T(30)_S(33)_EvLim(20)
56896,737969.0324193112,5.663209729817748,5.737450295783868,4.174427294222991,4.791244295954768
56897,737969.0340965907,5.658425137121924,5.656727500184956,4.0903825485645395,5.364774896039247
56898,737969.0347943334,5.658425137121924,5.656727500184956,4.0903825485645395,5.364774896039247
56909,737969.4551662294,5.660681552088906,5.667781889085585,4.129131609936333,4.00968272044693
56932,737969.9615491114,5.660681552088906,5.667781889085585,4.129131609936333,4.00968272044693
56978,737971.859766568,5.667034194490633,5.743585569004034,5.365381611396431,5.441555097231138
57082,737976.0647686946,5.667034194490633,5.743585569004034,5.365381611396431,5.441555097231138
57128,737978.3678747836,5.667034194490633,5.743585569004034,5.365381611396431,5.441555097231138
57177,737980.0157648744,5.667810820218375,5.745272543574418,5.361225076010456,5.449586742877253
57225,737982.9165588609,5.667810820218375,5.745272543574418,5.361225076010456,5.449586742877253
57252,737983.9013210464,5.742254709027177,5.049540427660322,5.370245711531654,5.363886890640343
57290,737985.6011523528,5.078916217260659,5.081223781708216,5.375453808922114,5.450339858767769
57298,737986.0996391304,5.080970411477214,5.090075436799872,5.376184021025336,5.452282266698681
57299,737986.1264961143,5.088190367458012,5.090100698602951,5.375342373565203,5.45141830530681
57327,737987.1188390746,5.089960462270737,5.089960462270737,5.438718839863973,4.09267259815454
57404,737989.8789980133,5.0876043855583815,5.095889267660162,5.372134363919038,4.777016234640066
57406,737989.9196515734,5.099693210128872,5.059266303908994,5.365199725881104,5.366777452891219
57437,737991.2327114907,5.099693210128872,5.059266303908994,5.365199725881104,5.366777452891219
57445,737991.6204286707,5.1017041836797805,5.095880504156575,4.141023673456212,4.790720181091541
57449,737991.9839403509,5.049655382003506,5.06984149879187,5.367453203649693,4.012664212272801
57453,737992.0558117491,5.049655382003506,5.06984149879187,5.367453203649693,4.012664212272801
57454,737992.0585427993,5.049655382003506,5.06984149879187,5.367453203649693,4.012664212272801
