Index,Time[d.s],bp_T(15)_S(17)_EvLim(20),bp_T(15)_S(33)_EvLim(20),bp_T(30)_S(17)_EvLim(20),bp_T(30)_S(33)_EvLim(20)
1335,736741.3045425114,1.447648273010839,1.2773367114801524,0.7841946792750034,0.9733029347136246
1346,736741.5417773589,1.447648273010839,1.2773367114801524,0.7841946792750034,0.9733029347136246
1357,736742.6874214272,1.2349606120471608,1.3160438845553086,0.9111073046921367,1.0780359479867951
1384,736744.2989413928,1.0960113107968494,1.5650251600117182,0.9842367861830066,1.1034705529302222
1416,736745.4381681293,2.0044360703227007,1.4686286827646196,1.160328768443802,0.9409713774570455
1422,736745.5748175798,1.4829567674745172,1.129370993129024,1.9740658268329627,0.9533293505193331
1425,736745.7509438898,1.6703633919355838,1.5510517210830423,0.8069660981310421,1.0223923320137964
1430,736746.0620077248,1.5171859629807916,1.2666922388844846,0.9870329134164814,1.1109858839385511
1431,736746.0672211448,1.9518853119247277,1.8882368778402256,1.9518853119247277,1.0592548339103705
1434,736746.1426296578,1.3414501371529017,1.4448153018307792,1.3624924922454953,1.1811356202389696
1454,736746.820714994,1.2160245493291053,1.670363391935584,1.4432747132736468,1.100036681619179
1512,736748.8760335962,1.9840864655478505,2.5298707683684563,1.0226714644503574,1.1403793835533964
1517,736749.0544919606,0.9364840580124024,1.5062236366586765,0.8464510142042387,0.934880489419916
1520,736749.096416601,2.3162372368173436,1.1296677274940077,1.0948600384115588,1.2063735608423662
1528,736749.3404934036,1.9518853119247277,0.8128506345782787,1.1692543743549082,0.8206145733637026
1529,736749.3444576167,1.1542710482478453,0.6592705607639496,0.839216390151211,0.7195411534491746
1530,736749.3480963397,1.1542710482478453,0.7502207940747153,0.7896263307331848,0.7727659820342558
1537,736749.5778034584,1.1542710482478453,0.6592705607639496,0.7937497058283973,0.7195411534491746
1539,736749.6147821718,1.1542710482478453,0.758120043222634,0.7278678467652263,0.7195411534491746
